NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADORA2A	853	2.811877489089966	0.04317229	No	
row_1	RELN	6218	0.47323349118232727	-0.14608507	No	
row_2	CRTC1	7158	0.3382028639316559	-0.17237884	No	
row_3	SQSTM1	7835	0.2545933723449707	-0.19101049	No	
row_4	STAU1	13952	-0.19674409925937653	-0.4159794	No	
row_5	IGSF11	16735	-0.41016122698783875	-0.50972617	No	
row_6	INS	21193	-1.052540898323059	-0.6493296	Yes	
row_7	EPHB2	21646	-1.1594265699386597	-0.6353034	Yes	
row_8	SHISA7	21691	-1.1682026386260986	-0.605683	Yes	
row_9	MME	21940	-1.2272390127182007	-0.58216166	Yes	
row_10	NPTN	22061	-1.2620298862457275	-0.55289024	Yes	
row_11	CHRNA7	22394	-1.3419345617294312	-0.52946025	Yes	
row_12	AKAP5	22533	-1.3843649625778198	-0.49759117	Yes	
row_13	ZDHHC2	22792	-1.4569640159606934	-0.46829572	Yes	
row_14	ADCY8	22796	-1.4587926864624023	-0.42935187	Yes	
row_15	SLC18A3	22809	-1.4625674486160278	-0.39064577	Yes	
row_16	EIF2AK4	23117	-1.5574110746383667	-0.3605056	Yes	
row_17	NRGN	23245	-1.6070728302001953	-0.32225978	Yes	
row_18	PRKAR1B	23667	-1.761244297027588	-0.29095387	Yes	
row_19	DRD2	24310	-2.0679478645324707	-0.259756	Yes	
row_20	LGMN	24826	-2.3792943954467773	-0.21544142	Yes	
row_21	APP	25200	-2.655189037322998	-0.15839463	Yes	
row_22	ADCY1	25827	-3.3362162113189697	-0.09263863	Yes	
row_23	SHANK3	26278	-4.527301788330078	0.011632247	Yes	
