NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AA1	11	12.175318717956543	0.13033076	Yes	
row_1	HSPD1	33	8.253303527832031	0.21816775	Yes	
row_2	TICAM1	129	5.657067775726318	0.2753354	Yes	
row_3	DHX9	200	4.973490238189697	0.32610482	Yes	
row_4	IRAK1	245	4.69612979888916	0.37487587	Yes	
row_5	ZCCHC3	386	3.904240846633911	0.41152436	Yes	
row_6	MAVS	445	3.7174220085144043	0.44925776	Yes	
row_7	ZBTB20	650	3.1703171730041504	0.47561243	Yes	
row_8	TLR9	666	3.1345605850219727	0.50870764	Yes	
row_9	IRF7	870	2.7976133823394775	0.5310977	Yes	
row_10	TRIM56	1003	2.6236202716827393	0.5542957	Yes	
row_11	POLR3B	1381	2.249364137649536	0.56423926	Yes	
row_12	CGAS	2062	1.7390233278274536	0.5572806	Yes	
row_13	HMGB2	2285	1.6143262386322021	0.56624764	Yes	
row_14	TLR4	2339	1.5904343128204346	0.5813287	Yes	
row_15	IRF3	2539	1.4897655248641968	0.58982515	Yes	
row_16	SYK	3025	1.2797832489013672	0.5852856	Yes	
row_17	NMB	3040	1.2730005979537964	0.5984281	Yes	
row_18	CD14	3219	1.2067036628723145	0.6046764	Yes	
row_19	IFIH1	3438	1.1294012069702148	0.60858685	Yes	
row_20	MYD88	3468	1.1214491128921509	0.6195364	Yes	
row_21	PLCG2	3894	0.9851963520050049	0.6140952	No	
row_22	STING1	5213	0.6571580767631531	0.5714688	No	
row_23	IRF1	5507	0.5997543931007385	0.5668643	No	
row_24	PQBP1	5558	0.5909066200256348	0.571325	No	
row_25	RIPK2	5897	0.5288766026496887	0.56426316	No	
row_26	FLOT1	6080	0.49821150302886963	0.56275254	No	
row_27	PTPN11	6921	0.37023794651031494	0.5350637	No	
row_28	OAS3	6962	0.36561891436576843	0.5374821	No	
row_29	IRF5	7531	0.29026222229003906	0.51918775	No	
row_30	GAPDH	7624	0.280970960855484	0.51873696	No	
row_31	STAT1	7705	0.26904401183128357	0.5186104	No	
row_32	ISG15	7760	0.2641293704509735	0.5194112	No	
row_33	POLR3D	8098	0.22613051533699036	0.50913596	No	
row_34	POLR3A	8992	0.13820238411426544	0.4769575	No	
row_35	NMBR	9661	0.07894839346408844	0.45262435	No	
row_36	TOMM70	9794	0.07287463545799255	0.44843104	No	
row_37	TLR3	9984	0.05552777647972107	0.4419028	No	
row_38	RNF135	10326	0.03565569594502449	0.42943132	No	
row_39	OAS2	10704	0.0068855928257107735	0.41529387	No	
row_40	OAS1	11509	-0.05432470887899399	0.38556963	No	
row_41	CHUK	12137	-0.10108965635299683	0.3630198	No	
row_42	PTPN22	12556	-0.10877945274114609	0.348431	No	
row_43	G3BP1	13879	-0.19055454432964325	0.30064315	No	
row_44	POLR3F	13951	-0.1967339962720871	0.30007935	No	
row_45	MMP12	16322	-0.37379196286201477	0.21475378	No	
row_46	TLR8	16594	-0.40014490485191345	0.20883514	No	
row_47	TLR2	16630	-0.40349626541137695	0.21184875	No	
row_48	DDX3X	17200	-0.455608069896698	0.1952923	No	
row_49	TRIM15	19437	-0.7387412786483765	0.11893701	No	
row_50	POLR3G	19475	-0.7452211976051331	0.12554486	No	
row_51	SETD2	20129	-0.850441038608551	0.11006187	No	
row_52	RIOK3	21000	-1.008948802947998	0.08810099	No	
row_53	RAB2B	21048	-1.0197874307632446	0.09728033	No	
row_54	TBK1	21621	-1.154136300086975	0.088111974	No	
row_55	POLR3C	22062	-1.262176752090454	0.085079685	No	
row_56	DHX58	22168	-1.2910661697387695	0.0949858	No	
row_57	TLR7	22743	-1.4434349536895752	0.0888487	No	
row_58	DHX33	24483	-2.1741483211517334	0.04664255	No	
row_59	DHX36	25589	-3.0387754440307617	0.037620526	No	
