NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	4303	0.86653071641922	-0.13525605	No	
row_1	CNTF	4334	0.8583999276161194	-0.10990011	No	
row_2	PRKDC	7836	0.2545250654220581	-0.23384678	No	
row_3	IL1A	8669	0.17058126628398895	-0.2599054	No	
row_4	BCL2	9083	0.13002848625183105	-0.2714414	No	
row_5	BCL2L1	9262	0.11455781012773514	-0.27460784	No	
row_6	BAX	10404	0.028611021116375923	-0.31667954	No	
row_7	DDB1	11027	-0.019071238115429878	-0.33950716	No	
row_8	SOD1	11977	-0.09208041429519653	-0.37239248	No	
row_9	YBX3	14274	-0.22458353638648987	-0.4518991	No	
row_10	NTRK1	15282	-0.2966938018798828	-0.48065472	No	
row_11	SYCP2	15966	-0.34682410955429077	-0.49566615	No	
row_12	TMEM215	16847	-0.42190271615982056	-0.5157774	No	
row_13	CASP2	17588	-0.49697959423065186	-0.5283018	No	
row_14	FASLG	17766	-0.5154855847358704	-0.51906025	No	
row_15	TEX11	20484	-0.9163002967834473	-0.59307355	No	
row_16	UNC5C	22679	-1.424832820892334	-0.63170743	Yes	
row_17	UBE2B	24307	-2.067103385925293	-0.629179	Yes	
row_18	SYCE3	24378	-2.101262331008911	-0.56698126	Yes	
row_19	FGF2	24552	-2.2159626483917236	-0.5051221	Yes	
row_20	KIT	24998	-2.504361152648926	-0.44460443	Yes	
row_21	TOPAZ1	25846	-3.369704246520996	-0.37252104	Yes	
row_22	MAEL	26160	-4.140009880065918	-0.25656724	Yes	
row_23	KITLG	26173	-4.191585063934326	-0.12769055	Yes	
row_24	DNASE1L3	26305	-4.642420291900635	0.010616404	Yes	
