NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.048187923	Yes	
row_1	HSPA1B	1	18.848594665527344	0.09283377	Yes	
row_2	HSPH1	3	16.519834518432617	0.13192567	Yes	
row_3	HSPA4	4	15.58820629119873	0.16884878	Yes	
row_4	HSP90AB1	5	15.46628475189209	0.2054831	Yes	
row_5	FKBP4	6	15.46043872833252	0.24210356	Yes	
row_6	AHSA1	9	12.511362075805664	0.27166286	Yes	
row_7	HSP90AA1	11	12.175318717956543	0.3004641	Yes	
row_8	CCT3	21	9.178403854370117	0.32186332	Yes	
row_9	DFFA	32	8.384648323059082	0.34134454	Yes	
row_10	HSPD1	33	8.253303527832031	0.36089376	Yes	
row_11	HSPA8	36	7.950799942016602	0.37965065	Yes	
row_12	CCT6A	55	7.247432231903076	0.39613482	Yes	
row_13	DNAJC5	82	6.358529090881348	0.4102102	Yes	
row_14	HSPB1	98	6.096103668212891	0.42408103	Yes	
row_15	DNLZ	121	5.742501735687256	0.43684888	Yes	
row_16	HSPE1	135	5.586165904998779	0.44958767	Yes	
row_17	DNAJA1	144	5.512768745422363	0.4623422	Yes	
row_18	HYOU1	145	5.511409759521484	0.47539684	Yes	
row_19	CCT5	151	5.467867851257324	0.48815876	Yes	
row_20	KHSRP	171	5.248995780944824	0.49987143	Yes	
row_21	CCT7	206	4.960067272186279	0.510331	Yes	
row_22	PPID	221	4.85430383682251	0.52129835	Yes	
row_23	CALR	244	4.7064900398254395	0.5316122	Yes	
row_24	GAK	331	4.187198162078857	0.53826946	Yes	
row_25	CHORDC1	337	4.147711277008057	0.5479044	Yes	
row_26	ENGASE	416	3.7797625064849854	0.5538999	Yes	
row_27	HSPA5	478	3.5938503742218018	0.5600996	Yes	
row_28	TCP1	505	3.524181365966797	0.5674614	Yes	
row_29	CD74	510	3.5083160400390625	0.5756197	Yes	
row_30	FKBP5	624	3.244824171066284	0.57902104	Yes	
row_31	CCT4	738	3.0072176456451416	0.5818596	Yes	
row_32	DNAJB6	819	2.86489200592041	0.58561224	Yes	
row_33	BAG3	948	2.6859683990478516	0.5871211	Yes	
row_34	DNAJB1	1113	2.496710777282715	0.5868167	Yes	
row_35	PPIH	1125	2.479135751724243	0.59227186	Yes	
row_36	PPIL6	1191	2.4187254905700684	0.5955365	Yes	
row_37	HSP90B1	1477	2.162649393081665	0.5898529	Yes	
row_38	HSPA7	1677	1.9997566938400269	0.58704436	Yes	
row_39	HSPA9	1739	1.9506255388259888	0.58935183	Yes	
row_40	SDF2	1805	1.905644178390503	0.5914011	Yes	
row_41	HSPA6	1841	1.8777662515640259	0.5945218	Yes	
row_42	GRN	1876	1.8555924892425537	0.59762794	Yes	
row_43	WDR83OS	1977	1.793163776397705	0.59808373	Yes	
row_44	HSPBP1	2101	1.709559440612793	0.5974694	Yes	
row_45	LMAN2L	2124	1.6975435018539429	0.60065615	Yes	
row_46	SNRNP70	2181	1.6649062633514404	0.6024764	Yes	
row_47	TRAP1	2266	1.6240068674087524	0.6031382	Yes	
row_48	CDC37	2423	1.5473018884658813	0.6008883	No	
row_49	FKBP11	2634	1.4418028593063354	0.596341	No	
row_50	UNC45A	2671	1.4247134923934937	0.5983507	No	
row_51	RANBP2	2814	1.355849266052246	0.5961782	No	
row_52	DNAJC7	2871	1.335152506828308	0.5972174	No	
row_53	PDIA3	2934	1.3125802278518677	0.5979756	No	
row_54	NFYC	3245	1.1977754831314087	0.58905876	No	
row_55	ALG12	3265	1.1905409097671509	0.59115833	No	
row_56	P4HB	3287	1.184754729270935	0.5931684	No	
row_57	ERP27	3331	1.1693778038024902	0.59430784	No	
row_58	DNAJB11	3689	1.047983169555664	0.5832541	No	
row_59	AIP	3780	1.022294282913208	0.5822631	No	
row_60	BAG5	3905	0.9801152348518372	0.57988304	No	
row_61	PPIAL4A	4024	0.9414439797401428	0.5776389	No	
row_62	RIC3	4032	0.9385607242584229	0.57959664	No	
row_63	MPDU1	4133	0.9099521636962891	0.5779604	No	
row_64	SDF2L1	4257	0.8796908259391785	0.5753804	No	
row_65	DNAJC19	4341	0.8566727638244629	0.5742625	No	
row_66	FKBP1A	4373	0.8488321900367737	0.5750977	No	
row_67	MESD	4438	0.8314327001571655	0.57464045	No	
row_68	PPIE	4482	0.8186805844306946	0.5749492	No	
row_69	LTBP4	4615	0.7817422747612	0.57179594	No	
row_70	HYPK	4649	0.7745828628540039	0.57237947	No	
row_71	POFUT2	4711	0.761191189289093	0.57186955	No	
row_72	RUVBL2	4776	0.7472673058509827	0.57121295	No	
row_73	DNAJC10	4937	0.7133252024650574	0.566836	No	
row_74	PPIAL4G	4994	0.7012977600097656	0.5663738	No	
