NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.22069494	Yes	
row_1	HSPA1B	1	18.848594665527344	0.42516762	Yes	
row_2	HSP90AA1	11	12.175318717956543	0.55690867	Yes	
row_3	HSPD1	33	8.253303527832031	0.6456514	Yes	
row_4	HSPA8	36	7.950799942016602	0.73182774	Yes	
row_5	DNAJA1	144	5.512768745422363	0.78760344	Yes	
row_6	HSPA5	478	3.5938503742218018	0.8140553	Yes	
row_7	HSPA7	1677	1.9997566938400269	0.79065377	Yes	
row_8	HSPA9	1739	1.9506255388259888	0.8095183	Yes	
row_9	HSPA6	1841	1.8777662515640259	0.82608676	Yes	
row_10	SNRNP70	2181	1.6649062633514404	0.8313873	Yes	
row_11	BAG5	3905	0.9801152348518372	0.7771624	No	
row_12	FKBP1A	4373	0.8488321900367737	0.7687918	No	
row_13	DNAJB2	8112	0.22423332929611206	0.63051814	No	
row_14	FKBP1B	10661	0.010452673770487309	0.53471947	No	
row_15	HSPA14	11353	-0.0413469560444355	0.50915736	No	
row_16	DNAJA2	19137	-0.6924901604652405	0.22370115	No	
row_17	B2M	19341	-0.722441554069519	0.22389697	No	
row_18	HSPA2	19644	-0.7697033286094666	0.22087891	No	
row_19	DNAJA4	19982	-0.8247173428535461	0.2171402	No	
row_20	HSPA1L	22499	-1.3743946552276611	0.13734235	No	
row_21	HSPA13	23016	-1.521088719367981	0.13442004	No	
