NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKI	315	4.2644429206848145	0.023230564	No	
row_1	XIAP	1331	2.29791259765625	0.003831332	No	
row_2	FBXL15	1352	2.277261972427368	0.02183328	No	
row_3	NOTCH1	1806	1.90461003780365	0.02041569	No	
row_4	MIR93	3014	1.2840949296951294	-0.014584	No	
row_5	NUMA1	3026	1.2793514728546143	-0.004461712	No	
row_6	ABL1	3851	0.9973543882369995	-0.027361091	No	
row_7	ACVRL1	3852	0.9971424341201782	-0.019147918	No	
row_8	FST	4038	0.9374324679374695	-0.018412171	No	
row_9	TMEM53	4582	0.7895733714103699	-0.032412402	No	
row_10	MIR140	4675	0.7688999176025391	-0.029553123	No	
row_11	MIR17	4775	0.7477772235870361	-0.027132144	No	
row_12	HTRA1	5525	0.5967774391174316	-0.050498955	No	
row_13	KCNQ1OT1	5647	0.5732721090316772	-0.050346047	No	
row_14	BMPER	6011	0.5105538368225098	-0.05984767	No	
row_15	ENG	6170	0.48152169585227966	-0.061847605	No	
row_16	SCUBE3	6182	0.4797038435935974	-0.058311787	No	
row_17	CRB2	6560	0.4180110991001129	-0.0691043	No	
row_18	NOG	6966	0.3650476038455963	-0.081390336	No	
row_19	HIPK2	7730	0.26702752709388733	-0.10800184	No	
row_20	MIR210	8316	0.20414955914020538	-0.12840997	No	
row_21	SOSTDC1	8643	0.17324647307395935	-0.13929276	No	
row_22	TNFAIP6	9274	0.11389979720115662	-0.16214345	No	
row_23	SMAD7	9581	0.08559767156839371	-0.17299299	No	
row_24	CHRDL1	9852	0.06801603734493256	-0.18262799	No	
row_25	NOTCH2	10211	0.039296310395002365	-0.19582242	No	
row_26	GDF3	10237	0.0378933809697628	-0.1964543	No	
row_27	SMURF1	10393	0.02921358123421669	-0.2020665	No	
row_28	UBE2D3	10503	0.019133444875478745	-0.20602474	No	
row_29	PPARG	10606	0.011773912236094475	-0.20977929	No	
row_30	TMPRSS6	10754	0.003272389993071556	-0.21530306	No	
row_31	CER1	11019	-0.019068481400609016	-0.22511466	No	
row_32	TOB1	11234	-0.029161298647522926	-0.23295513	No	
row_33	RBPMS2	11376	-0.042690541595220566	-0.23792768	No	
row_34	DAND5	11419	-0.046043071895837784	-0.23913434	No	
row_35	MIR98	11456	-0.049882493913173676	-0.24008285	No	
row_36	SORL1	11494	-0.05326230823993683	-0.24104126	No	
row_37	SKIL	13056	-0.1464691013097763	-0.29877833	No	
row_38	FSTL5	13129	-0.15359678864479065	-0.3002319	No	
row_39	MIR106A	13461	-0.17456434667110443	-0.31129265	No	
row_40	MIR100	13504	-0.17456434667110443	-0.31144074	No	
row_41	FOXD1	13801	-0.18373388051986694	-0.32110435	No	
row_42	DKK1	14012	-0.2038498967885971	-0.3273549	No	
row_43	BMPR2	14188	-0.21884006261825562	-0.3321604	No	
row_44	GDF2	14230	-0.22067172825336456	-0.33189097	No	
row_45	MIR20A	14291	-0.22567352652549744	-0.33229777	No	
row_46	HJV	14316	-0.227973073720932	-0.33132625	No	
row_47	FSTL3	14513	-0.24280716478824615	-0.3367273	No	
row_48	UBE2O	14827	-0.2567019760608673	-0.34643182	No	
row_49	HTRA3	14902	-0.2631201148033142	-0.34705883	No	
row_50	ILK	14977	-0.26842638850212097	-0.34764212	No	
row_51	LEMD3	15779	-0.32772502303123474	-0.37518856	No	
row_52	GATA4	15941	-0.34437426924705505	-0.3784314	No	
row_53	ITGA3	16467	-0.3878427743911743	-0.3950609	No	
row_54	FKBP8	16621	-0.40285468101501465	-0.39752	No	
row_55	MIR214	16776	-0.41536980867385864	-0.39991376	No	
row_56	VWC2L	16862	-0.42319098114967346	-0.39963767	No	
row_57	WNT5A	16942	-0.4307592809200287	-0.39907268	No	
row_58	PELO	17045	-0.4433022141456604	-0.39927286	No	
row_59	MIR302C	17475	-0.4843304455280304	-0.41148263	No	
row_60	DLX1	18176	-0.5630518198013306	-0.43327698	No	
row_61	GPC3	19092	-0.6872408390045166	-0.46216685	No	
row_62	FBN1	19728	-0.7824918627738953	-0.47969934	No	
row_63	FZD1	20156	-0.8559718728065491	-0.4887725	No	
row_64	GREM2	20496	-0.9182959198951721	-0.49400944	No	
row_65	UBE2D1	20870	-0.984072744846344	-0.4999884	No	
row_66	RBPJ	20958	-1.0008082389831543	-0.49503016	No	
row_67	SFRP2	21547	-1.1366151571273804	-0.50787115	Yes	
row_68	SMURF2	21634	-1.1562402248382568	-0.5015949	Yes	
row_69	SPART	21885	-1.213346242904663	-0.50104094	Yes	
row_70	SFRP4	22004	-1.250185489654541	-0.49519917	Yes	
row_71	SULF1	22054	-1.2591521739959717	-0.48667815	Yes	
row_72	FSTL4	22136	-1.278630018234253	-0.479205	Yes	
row_73	TRIM33	22293	-1.3179163932800293	-0.47424027	Yes	
row_74	CTDSPL2	22372	-1.3377145528793335	-0.4661672	Yes	
row_75	MSX2	22415	-1.3475393056869507	-0.45665383	Yes	
row_76	GREM1	22688	-1.4267551898956299	-0.4551728	Yes	
row_77	TFAP2B	22823	-1.4673882722854614	-0.4481462	Yes	
row_78	TBX20	22864	-1.4780539274215698	-0.4374823	Yes	
row_79	CRIM1	22945	-1.504326343536377	-0.4281124	Yes	
row_80	PPM1A	23314	-1.6327637434005737	-0.4285595	Yes	
row_81	WNT1	23348	-1.644083023071289	-0.41626376	Yes	
row_82	BAMBI	23375	-1.652566909790039	-0.4036338	Yes	
row_83	GATA6	23380	-1.6539254188537598	-0.39016193	Yes	
row_84	MSX1	23413	-1.665871262550354	-0.37764895	Yes	
row_85	SOST	23641	-1.7512685060501099	-0.3717958	Yes	
row_86	SMAD4	23741	-1.791990041732788	-0.36077392	Yes	
row_87	FSTL1	23774	-1.8125407695770264	-0.34705287	Yes	
row_88	HES5	23897	-1.8632733821868896	-0.33631235	Yes	
row_89	LRP2	24046	-1.9251879453659058	-0.32604364	Yes	
row_90	SKOR1	24433	-2.138977527618408	-0.32300088	Yes	
row_91	MICOS10-NBL1	24545	-2.209282636642456	-0.30899504	Yes	
row_92	PCSK6	24691	-2.2923526763916016	-0.2955888	Yes	
row_93	SFRP1	24859	-2.3958826065063477	-0.28216052	Yes	
row_94	HES1	24988	-2.4927916526794434	-0.2664614	Yes	
row_95	HOXA13	25220	-2.673421621322632	-0.25316378	Yes	
row_96	ZNF423	25549	-2.988450765609741	-0.24093409	Yes	
row_97	NBL1	25777	-3.2485275268554688	-0.22274844	Yes	
row_98	CDH5	25843	-3.361471176147461	-0.19751538	Yes	
row_99	KDR	25914	-3.5022685527801514	-0.17131141	Yes	
row_100	CHRDL2	26000	-3.685476541519165	-0.14416482	Yes	
row_101	TWSG1	26073	-3.870375871658325	-0.11500437	Yes	
row_102	SMAD2	26360	-4.848572731018066	-0.08586746	Yes	
row_103	RNF165	26410	-5.155505180358887	-0.045253288	Yes	
row_104	SOX11	26505	-6.300964832305908	0.0030964918	Yes	
