NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAIAP2	1030	2.5947136878967285	-0.0049537076	No	
row_1	ARF6	1830	1.8875101804733276	-0.010431252	No	
row_2	LLPH	2118	1.6984614133834839	9.173838E-4	No	
row_3	PSEN1	2957	1.3057483434677124	-0.013621194	No	
row_4	TANC2	3461	1.1231176853179932	-0.017919522	No	
row_5	CPEB3	5399	0.6191121935844421	-0.08283037	No	
row_6	SRGAP2C	5745	0.5569750666618347	-0.08856259	No	
row_7	GRIN3A	5817	0.5456174612045288	-0.08411821	No	
row_8	HDAC2	6179	0.48006394505500793	-0.091456965	No	
row_9	RELN	6218	0.47323349118232727	-0.08671363	No	
row_10	NLGN2	6306	0.45899346470832825	-0.08400251	No	
row_11	PAK3	7812	0.2579145133495331	-0.1373481	No	
row_12	DTNBP1	8295	0.2063205987215042	-0.15281844	No	
row_13	EFNA1	8623	0.17495951056480408	-0.16285734	No	
row_14	PAFAH1B1	9861	0.06707153469324112	-0.20859453	No	
row_15	EEF2K	10028	0.051303617656230927	-0.21418025	No	
row_16	CAPRIN1	10751	0.00343800475820899	-0.24134165	No	
row_17	IL2	12090	-0.09694952517747879	-0.29049483	No	
row_18	MEF2C	12760	-0.1234033927321434	-0.31409365	No	
row_19	CAMK1	13953	-0.19702918827533722	-0.35643932	No	
row_20	NGEF	16080	-0.35636603832244873	-0.43190062	No	
row_21	DBN1	16307	-0.37190327048301697	-0.4355637	No	
row_22	DLG5	18952	-0.6640850305557251	-0.5265288	No	
row_23	MAPKAPK5	19932	-0.8163224458694458	-0.55276704	No	
row_24	UBE3A	19999	-0.8280315399169922	-0.544449	No	
row_25	ARMCX5-GPRASP2	20434	-0.9081615209579468	-0.5489522	No	
row_26	DISC1	21205	-1.0558182001113892	-0.5641898	Yes	
row_27	LRP8	21323	-1.0828981399536133	-0.5544678	Yes	
row_28	EPHB2	21646	-1.1594265699386597	-0.5514719	Yes	
row_29	LPAR1	21712	-1.1741149425506592	-0.53860015	Yes	
row_30	SDK1	21723	-1.1772812604904175	-0.5236145	Yes	
row_31	FMR1	21907	-1.2189971208572388	-0.51460356	Yes	
row_32	FSTL4	22136	-1.278630018234253	-0.5065101	Yes	
row_33	PPFIA2	22316	-1.322884202003479	-0.49599275	Yes	
row_34	PTEN	23846	-1.8417543172836304	-0.5295751	Yes	
row_35	NEURL1	23941	-1.8846864700317383	-0.5085238	Yes	
row_36	NLGN1	24399	-2.1156980991363525	-0.49813655	Yes	
row_37	C21orf91	24571	-2.2229080200195312	-0.47557327	Yes	
row_38	ASAP1	24908	-2.4384841918945312	-0.45641446	Yes	
row_39	KIF1A	25179	-2.644876480102539	-0.4320754	Yes	
row_40	STAU2	25188	-2.649463653564453	-0.39780387	Yes	
row_41	MAPK6	25486	-2.9214725494384766	-0.3708729	Yes	
row_42	DHX36	25589	-3.0387754440307617	-0.3350633	Yes	
row_43	CAPRIN2	25641	-3.0986416339874268	-0.29655072	Yes	
row_44	CUX2	25654	-3.1124722957611084	-0.2563881	Yes	
row_45	SHANK1	25995	-3.675931930541992	-0.22123247	Yes	
row_46	DNM3	26225	-4.348788261413574	-0.17311403	Yes	
row_47	SHANK3	26278	-4.527301788330078	-0.11599648	Yes	
row_48	PTPRS	26348	-4.8042097091674805	-0.055906132	Yes	
row_49	ITPKA	26386	-4.971590518951416	0.007574201	Yes	
