NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNE1	1276	2.3469767570495605	-0.027787969	No	
row_1	EDN1	1923	1.833277702331543	-0.03625484	No	
row_2	ATP2A2	2485	1.5128945112228394	-0.04429504	No	
row_3	KCNJ3	2726	1.3951187133789062	-0.041240584	No	
row_4	RNLS	3048	1.2683382034301758	-0.042344637	No	
row_5	TRPV1	3449	1.1267825365066528	-0.047659997	No	
row_6	PRKACA	3640	1.0638923645019531	-0.045594223	No	
row_7	JUP	4743	0.7570173740386963	-0.0806199	No	
row_8	OXT	5052	0.6887569427490234	-0.08626586	No	
row_9	BIN1	5524	0.5968097448348999	-0.098863244	No	
row_10	DSP	5602	0.583117663860321	-0.096706554	No	
row_11	CACNA1D	5730	0.5602513551712036	-0.09663584	No	
row_12	SCN5A	6252	0.4673139750957489	-0.112245105	No	
row_13	TNF	6332	0.45347505807876587	-0.11128962	No	
row_14	KCNJ2	7065	0.3517230749130249	-0.13586755	No	
row_15	CACNA1C	7191	0.33355608582496643	-0.1376898	No	
row_16	EPAS1	7280	0.32236218452453613	-0.13821253	No	
row_17	SRI	7287	0.32176142930984497	-0.1356451	No	
row_18	GCH1	7751	0.26540520787239075	-0.15081815	No	
row_19	KCNE5	8066	0.22909514605998993	-0.16068195	No	
row_20	RGS4	8765	0.16076304018497467	-0.18563458	No	
row_21	KCNH6	8997	0.1376805156469345	-0.19315901	No	
row_22	KCNH2	9044	0.13353924453258514	-0.1937359	No	
row_23	AKAP9	9135	0.12466077506542206	-0.19605082	No	
row_24	CAV3	9622	0.08261416852474213	-0.21367931	No	
row_25	KCNJ5	10467	0.022457633167505264	-0.24534419	No	
row_26	FKBP1B	10661	0.010452673770487309	-0.25253892	No	
row_27	CALM1	10795	-2.6674909167923033E-4	-0.25755718	No	
row_28	MIR328	10918	-0.00939678680151701	-0.2620809	No	
row_29	KCNE4	11165	-0.027899444103240967	-0.27112484	No	
row_30	CALM3	11299	-0.035185277462005615	-0.2758399	No	
row_31	EDN2	11410	-0.04522485285997391	-0.27959955	No	
row_32	MIR1-1	11552	-0.05484405532479286	-0.28444588	No	
row_33	KCNQ1	12731	-0.12077304720878601	-0.32786512	No	
row_34	CACNB2	12860	-0.1340635120868683	-0.33153284	No	
row_35	ADM5	12936	-0.14016684889793396	-0.3331469	No	
row_36	NPPA	14332	-0.22949643433094025	-0.3838135	No	
row_37	HEY2	14344	-0.23064689338207245	-0.382226	No	
row_38	RANGRF	14518	-0.24351708590984344	-0.38664198	No	
row_39	SCN4B	14946	-0.2682461440563202	-0.40043142	No	
row_40	KCNE3	15066	-0.2771926522254944	-0.4025166	No	
row_41	HCN3	15279	-0.29634276032447815	-0.4079461	No	
row_42	SCN10A	15344	-0.3011491596698761	-0.40774706	No	
row_43	DSC2	15936	-0.34351056814193726	-0.42707375	No	
row_44	AGT	15988	-0.34919118881225586	-0.42596683	No	
row_45	CASQ2	16699	-0.4094853401184082	-0.44921273	No	
row_46	EDN3	16925	-0.4290808141231537	-0.4539804	No	
