NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP1	524	3.4714503288269043	0.022259071	No	
row_1	SMARCAL1	1826	1.8890655040740967	-0.0039016171	No	
row_2	FBH1	2432	1.5442801713943481	-0.008011303	No	
row_3	CENPX	2640	1.4386491775512695	0.0015960746	No	
row_4	DDX11	4638	0.7785130143165588	-0.06422387	No	
row_5	SAMHD1	5180	0.6631914377212524	-0.076582655	No	
row_6	EXD2	5193	0.6611325144767761	-0.069035664	No	
row_7	MUS81	5552	0.5929875373840332	-0.075349115	No	
row_8	ZNF365	6155	0.48449045419692993	-0.09216826	No	
row_9	RTEL1	7009	0.3600517511367798	-0.119949706	No	
row_10	CENPS	7139	0.34063807129859924	-0.12068852	No	
row_11	RFWD3	7272	0.32287049293518066	-0.12175533	No	
row_12	CDK9	7284	0.3221549391746521	-0.11827199	No	
row_13	ALYREF	7852	0.252719521522522	-0.13657668	No	
row_14	BOD1L1	7952	0.24161489307880402	-0.1373833	No	
row_15	ATRX	8219	0.21354705095291138	-0.14482144	No	
row_16	EME2	11843	-0.08055226504802704	-0.28034747	No	
row_17	OOEP	13259	-0.16339801251888275	-0.33168224	No	
row_18	EME1	13706	-0.17573845386505127	-0.3463595	No	
row_19	PCNA	15097	-0.27966174483299255	-0.3953457	No	
row_20	KHDC3L	15269	-0.29522037506103516	-0.3982164	No	
row_21	ZRANB3	15842	-0.33301639556884766	-0.41573796	No	
row_22	TONSL	16574	-0.3980356752872467	-0.43846333	No	
row_23	SETMAR	16673	-0.4085249900817871	-0.43721282	No	
row_24	ATR	17539	-0.4917477071285248	-0.463853	No	
row_25	FAM111A	17798	-0.519034743309021	-0.4672936	No	
row_26	TRAIP	19130	-0.691501259803772	-0.509074	No	
row_27	RAD51	19380	-0.7285797595977783	-0.5096402	No	
row_28	CARM1	21106	-1.032680869102478	-0.56213707	No	
row_29	THOC1	21523	-1.1306872367858887	-0.56413	No	
row_30	NBN	21958	-1.2327388525009155	-0.5655665	No	
row_31	DNA2	23901	-1.8671555519104004	-0.61614263	Yes	
row_32	RAD50	23903	-1.8680018186569214	-0.59357923	Yes	
row_33	GEN1	24333	-2.079867362976074	-0.5845778	Yes	
row_34	BRCA1	24533	-2.203240156173706	-0.5654181	Yes	
row_35	MRE11	25062	-2.5591773986816406	-0.55434746	Yes	
row_36	ETAA1	25165	-2.633018732070923	-0.5263333	Yes	
row_37	BARD1	25600	-3.0524613857269287	-0.50575274	Yes	
row_38	WRN	25978	-3.6394824981689453	-0.47592226	Yes	
row_39	RBBP8	26052	-3.8192715644836426	-0.43246293	Yes	
row_40	BRCA2	26260	-4.474242210388184	-0.38612765	Yes	
row_41	BLM	26373	-4.9050493240356445	-0.33100078	Yes	
row_42	FANCM	26375	-4.920059680938721	-0.27151024	Yes	
row_43	PRIMPOL	26540	-6.998908519744873	-0.19300875	Yes	
row_44	MMS22L	26551	-7.4741716384887695	-0.10295488	Yes	
row_45	NUCKS1	26571	-8.618306159973145	6.028875E-4	Yes	
