NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.10343958	Yes	
row_1	HSPA1B	1	18.848594665527344	0.19927579	Yes	
row_2	HSP90AB1	5	15.46628475189209	0.27780125	Yes	
row_3	HSP90AA1	11	12.175318717956543	0.3395182	Yes	
row_4	DNAJA1	144	5.512768745422363	0.3625635	Yes	
row_5	IRAK1	245	4.69612979888916	0.38266495	Yes	
row_6	CREBBP	324	4.217390537261963	0.401163	Yes	
row_7	CHORDC1	337	4.147711277008057	0.421799	Yes	
row_8	TRPM2	356	4.057445526123047	0.4417495	Yes	
row_9	HSF1	398	3.8554317951202393	0.45980433	Yes	
row_10	POLR2D	467	3.628669023513794	0.4756866	Yes	
row_11	MTOR	573	3.3468198776245117	0.48873866	Yes	
row_12	DNAJB6	819	2.86489200592041	0.49405372	Yes	
row_13	BAG3	948	2.6859683990478516	0.5028771	Yes	
row_14	HTRA2	1024	2.6021499633789062	0.51327574	Yes	
row_15	DAXX	1043	2.5819191932678223	0.5257239	Yes	
row_16	DNAJB1	1113	2.496710777282715	0.5358129	Yes	
row_17	HMOX1	1145	2.4577786922454834	0.5471389	Yes	
row_18	HIKESHI	1270	2.350318670272827	0.55440676	Yes	
row_19	STUB1	1535	2.1121010780334473	0.5551768	Yes	
row_20	EIF2B5	1754	1.939213514328003	0.5568048	Yes	
row_21	HSPA6	1841	1.8777662515640259	0.5631048	Yes	
row_22	EP300	2164	1.672788381576538	0.559451	No	
row_23	CLPB	2350	1.5847290754318237	0.5605227	No	
row_24	DNAJC7	2871	1.335152506828308	0.5476753	No	
row_25	MAP2K7	3039	1.2734050750732422	0.5478438	No	
row_26	CD14	3219	1.2067036628723145	0.54722	No	
row_27	GSK3B	3230	1.2021582126617432	0.5529548	No	
row_28	TRPV1	3449	1.1267825365066528	0.55045193	No	
row_29	TACR1	3476	1.117450475692749	0.5551519	No	
row_30	PRKACA	3640	1.0638923645019531	0.55440617	No	
row_31	IER5	3869	0.9916498064994812	0.5508386	No	
row_32	MICB	4014	0.9441570043563843	0.55020154	No	
row_33	TRPV4	4715	0.7607024908065796	0.5276363	No	
row_34	MAPT	4745	0.756955623626709	0.53038996	No	
row_35	VCP	4999	0.700782299041748	0.52439946	No	
row_36	MSTN	5184	0.6626707911491394	0.5208207	No	
row_37	CPB2	5594	0.5842886567115784	0.5083471	No	
row_38	DNAJA3	6005	0.5111884474754333	0.49546403	No	
row_39	HDAC2	6179	0.48006394505500793	0.49137217	No	
row_40	MICA	6441	0.4386848211288452	0.48374695	No	
row_41	EIF2B4	6556	0.4185730516910553	0.48157036	No	
row_42	STAC	7061	0.35183951258659363	0.4643275	No	
row_43	MAPKAPK2	7313	0.3191685080528259	0.4564722	No	
row_44	RBBP7	7358	0.31339511275291443	0.45640415	No	
row_45	TFEC	7906	0.24682822823524475	0.4370036	No	
row_46	NOS3	8394	0.19936503469944	0.41962746	No	
row_47	IL1A	8669	0.17058126628398895	0.4101481	No	
row_48	SCN11A	8677	0.16997216641902924	0.410748	No	
row_49	HSBP1	9045	0.13350725173950195	0.39756837	No	
row_50	HSP90AB4P	9422	0.10327734053134918	0.38389516	No	
row_51	NF1	9949	0.05942114070057869	0.36433473	No	
row_52	CETN1	10143	0.04284706339240074	0.35726464	No	
row_53	PDCD6	10416	0.02760358527302742	0.34713385	No	
