NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.06629516	Yes	
row_1	HSPA1B	1	18.848594665527344	0.12771727	Yes	
row_2	HSPH1	3	16.519834518432617	0.18151279	Yes	
row_3	HSPA4	4	15.58820629119873	0.23231024	Yes	
row_4	HSP90AB1	5	15.46628475189209	0.28271037	Yes	
row_5	HSP90AA1	11	12.175318717956543	0.32219702	Yes	
row_6	UBE2J2	22	9.120122909545898	0.35153848	Yes	
row_7	HSPD1	33	8.253303527832031	0.3780552	Yes	
row_8	HSPA8	36	7.950799942016602	0.40388888	Yes	
row_9	HSPB1	98	6.096103668212891	0.42144617	Yes	
row_10	HSPE1	135	5.586165904998779	0.43828768	Yes	
row_11	DNAJA1	144	5.512768745422363	0.4559495	Yes	
row_12	HERPUD1	379	3.914822816848755	0.4598525	Yes	
row_13	HSF1	398	3.8554317951202393	0.47173515	Yes	
row_14	HSPA5	478	3.5938503742218018	0.48045722	Yes	
row_15	EDEM3	772	2.957441568374634	0.47900793	Yes	
row_16	BAG3	948	2.6859683990478516	0.48113894	Yes	
row_17	AUP1	999	2.626469612121582	0.48780593	Yes	
row_18	DAXX	1043	2.5819191932678223	0.49459258	Yes	
row_19	DNAJB1	1113	2.496710777282715	0.5001178	Yes	
row_20	MANF	1119	2.4860994815826416	0.50803006	Yes	
row_21	PARP16	1210	2.4045279026031494	0.51246023	Yes	
row_22	NCK2	1412	2.218129873275757	0.51208293	Yes	
row_23	STUB1	1535	2.1121010780334473	0.51434934	Yes	
row_24	DDIT3	1638	2.0286240577697754	0.51710045	Yes	
row_25	HSPA7	1677	1.9997566938400269	0.52217925	Yes	
row_26	HSPA9	1739	1.9506255388259888	0.5262276	Yes	
row_27	HSPA6	1841	1.8777662515640259	0.528525	Yes	
row_28	PTPN1	1947	1.817468523979187	0.53047454	Yes	
row_29	BAK1	2075	1.729691505432129	0.5313056	Yes	
row_30	TMEM129	2368	1.5765405893325806	0.5253942	Yes	
row_31	DDRGK1	2372	1.5753735303878784	0.53041434	Yes	
row_32	AKIRIN2	2440	1.5402677059173584	0.5328985	Yes	
row_33	ABCA7	2459	1.5238354206085205	0.5371831	Yes	
row_34	OS9	2704	1.408915638923645	0.5325417	Yes	
row_35	TM7SF3	2821	1.3539633750915527	0.5325646	Yes	
row_36	CREB3	2823	1.3535255193710327	0.53693753	Yes	
row_37	EDEM2	2881	1.3311434984207153	0.5391185	Yes	
row_38	SELENOS	2947	1.3084684610366821	0.54092294	Yes	
row_39	RACK1	3283	1.1853078603744507	0.53210956	No	
row_40	ERP27	3331	1.1693778038024902	0.5341418	No	
row_41	FBXO6	3797	1.0170844793319702	0.5198612	No	
row_42	BFAR	3844	0.9990844130516052	0.5213764	No	
row_43	DNAJB9	3968	0.9610751271247864	0.51985407	No	
row_44	SERPINH1	4156	0.9027560949325562	0.51572007	No	
row_45	BHLHA15	4206	0.8924312591552734	0.5167741	No	
row_46	SDF2L1	4257	0.8796908259391785	0.51774883	No	
row_47	CDK5RAP3	4344	0.8562287092208862	0.5172849	No	
row_48	BCL2L11	4653	0.7738958597183228	0.50815254	No	
row_49	CREB3L2	4878	0.7242902517318726	0.5020369	No	
row_50	PIK3R1	4904	0.7189906239509583	0.50343394	No	
row_51	DNAJC10	4937	0.7133252024650574	0.50454766	No	
row_52	VCP	4999	0.700782299041748	0.5045231	No	
row_53	BOK	5197	0.6606451869010925	0.49922174	No	
row_54	MBTPS1	5680	0.5673520565032959	0.48283234	No	
row_55	PPP1R15B	5921	0.5252165198326111	0.47546262	No	
row_56	UFD1	6107	0.4931414723396301	0.47006947	No	
row_57	EIF2AK3	6139	0.4883197546005249	0.47048774	No	
row_58	TMBIM6	6305	0.45915088057518005	0.46574062	No	
row_59	ERN1	6519	0.4248705208301544	0.4590655	No	
row_60	FAF2	6571	0.4154558777809143	0.4584896	No	
row_61	TOR1A	6650	0.4070455729961395	0.45686463	No	
row_62	HDAC6	6698	0.3988789916038513	0.45638603	No	
row_63	CREBRF	6743	0.39177751541137695	0.45599782	No	
row_64	F12	6803	0.3849485218524933	0.45501977	No	
row_65	BAG6	7029	0.3563523590564728	0.44766733	No	
