NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AB1	5	15.46628475189209	0.026793296	Yes	
row_1	HSP90AA1	11	12.175318717956543	0.047844708	Yes	
row_2	NSUN5	35	8.006143569946289	0.060933042	Yes	
row_3	XAB2	87	6.2838358879089355	0.06994471	Yes	
row_4	DDX23	93	6.160110950469971	0.08050114	Yes	
row_5	RPS9	100	6.07390022277832	0.090868875	Yes	
row_6	PUF60	124	5.710059642791748	0.09995113	Yes	
row_7	RUVBL1	183	5.152091026306152	0.106720276	Yes	
row_8	DHX9	200	4.973490238189697	0.114785336	Yes	
row_9	LSG1	218	4.885230541229248	0.12265813	Yes	
row_10	EIF3CL	227	4.828689098358154	0.13077675	Yes	
row_11	EIF3C	228	4.815765380859375	0.13917902	Yes	
row_12	SNRPD3	233	4.783115386962891	0.14737122	Yes	
row_13	NGRN	257	4.634544372558594	0.15457699	Yes	
row_14	DDX49	300	4.360049247741699	0.16057661	Yes	
row_15	TARBP2	343	4.125053405761719	0.16616623	Yes	
row_16	DDX27	383	3.90923810005188	0.17149413	Yes	
row_17	DDX56	393	3.8866162300109863	0.1779308	Yes	
row_18	ISY1	405	3.8336679935455322	0.18419854	Yes	
row_19	DHX30	448	3.7017576694488525	0.18904962	Yes	
row_20	POLR2D	467	3.628669023513794	0.19469176	Yes	
row_21	GNL3L	489	3.563825845718384	0.20010595	Yes	
row_22	PRPF8	508	3.515028476715088	0.20554982	Yes	
row_23	PRPF6	537	3.4436144828796387	0.21048635	Yes	
row_24	TRAF7	540	3.4336318969726562	0.21640061	Yes	
row_25	MTG2	560	3.3695907592773438	0.22155246	Yes	
row_26	PRPF3	566	3.3626022338867188	0.22722796	Yes	
row_27	SNRPD2	579	3.3343701362609863	0.23258628	Yes	
row_28	SF3B5	596	3.302319049835205	0.23773557	Yes	
row_29	ISG20	604	3.285569429397583	0.24320012	Yes	
row_30	TSR3	608	3.278707504272461	0.24880579	Yes	
row_31	SNU13	615	3.2607779502868652	0.25426537	Yes	
row_32	URB1	676	3.116641044616699	0.25740662	Yes	
row_33	BOP1	694	3.094327688217163	0.26215476	Yes	
row_34	GTPBP4	716	3.0436582565307617	0.26666138	Yes	
row_35	UTP14A	747	2.993598222732544	0.2707362	Yes	
row_36	PDCD11	794	2.905679941177368	0.27404523	Yes	
row_37	RNVU1-3	807	2.877183198928833	0.27860588	Yes	
row_38	EXOSC5	841	2.8229713439941406	0.28226817	Yes	
row_39	MRM1	852	2.812803268432617	0.28679302	Yes	
row_40	RPS15	857	2.809138298034668	0.29154116	Yes	
row_41	LAS1L	897	2.7566463947296143	0.2948581	Yes	
row_42	DDX39B	903	2.7474172115325928	0.29946023	Yes	
row_43	SRSF12	910	2.735949993133545	0.30400413	Yes	
row_44	RPUSD1	920	2.724323034286499	0.30841288	Yes	
row_45	PRPF31	958	2.6714818477630615	0.3116578	Yes	
row_46	DHX37	964	2.6659462451934814	0.3161178	Yes	
row_47	BMS1	1011	2.613173723220825	0.31891647	Yes	
row_48	LTV1	1068	2.5395846366882324	0.321204	Yes	
row_49	SIRT7	1094	2.5158402919769287	0.32463664	Yes	
row_50	FBL	1106	2.505556583404541	0.32858717	Yes	
row_51	MTREX	1111	2.4973649978637695	0.33279133	Yes	
row_52	SNRNP200	1172	2.432758092880249	0.3347394	Yes	
row_53	TRMT112	1228	2.388979196548462	0.33680242	Yes	
row_54	SART1	1272	2.3486149311065674	0.33925435	Yes	
row_55	RNU4-1	1278	2.3458237648010254	0.34315583	Yes	
row_56	SF1	1318	2.3123066425323486	0.3456975	Yes	
row_57	SF3B2	1343	2.2909157276153564	0.34877598	Yes	
row_58	RPS19	1396	2.2357466220855713	0.3506865	Yes	
row_59	SMN2	1438	2.1967923641204834	0.35295007	Yes	
row_60	SMN1	1439	2.1967923641204834	0.3567829	Yes	
row_61	NOC2L	1450	2.1832356452941895	0.36020935	Yes	
row_62	MRTO4	1528	2.118612289428711	0.36095864	Yes	
row_63	IMP3	1541	2.1061348915100098	0.364174	Yes	
row_64	USP36	1555	2.094271421432495	0.36733037	Yes	
row_65	ZNF622	1564	2.0855014324188232	0.37066284	Yes	
row_66	GEMIN8	1586	2.0651051998138428	0.37346217	Yes	
row_67	NOP53	1587	2.065101385116577	0.37706524	Yes	
row_68	RPS5	1614	2.046341896057129	0.37964043	Yes	
row_69	SF3A3	1630	2.0382068157196045	0.38262245	Yes	
row_70	GEMIN7	1643	2.023376941680908	0.38569343	Yes	
row_71	EXOSC6	1655	2.0141208171844482	0.38878652	Yes	
row_72	SNRPC	1693	1.9910979270935059	0.39084432	Yes	
row_73	NOL9	1748	1.9424211978912354	0.39216653	Yes	
row_74	ZRSR2	1771	1.9297229051589966	0.39469135	Yes	
row_75	SNRPB2	1798	1.9103754758834839	0.3970293	Yes	
row_76	RMRP	1847	1.87356698513031	0.398461	Yes	
row_77	RNVU1-14	1886	1.8525303602218628	0.40023878	Yes	
row_78	MPHOSPH10	1900	1.8451048135757446	0.40296045	Yes	
row_79	TSR2	1951	1.8149234056472778	0.40421328	Yes	
row_80	CELF1	1953	1.812596082687378	0.40733752	Yes	
row_81	WDR55	1978	1.7926539182662964	0.40954664	Yes	
row_82	METTL17	1996	1.7813278436660767	0.41200393	Yes	
row_83	MDN1	2003	1.7780112028121948	0.41487646	Yes	
row_84	NOP56	2085	1.7210978269577026	0.4147791	Yes	
row_85	MRPS11	2088	1.7186439037322998	0.41770113	Yes	
row_86	TXNL4A	2092	1.7163485288619995	0.4205809	Yes	
row_87	RPSA	2097	1.712805986404419	0.4234162	Yes	
row_88	PRPF19	2125	1.696951985359192	0.4253435	Yes	
row_89	EBNA1BP2	2191	1.6625785827636719	0.42575645	Yes	
row_90	SNRPF	2200	1.658240556716919	0.42834345	Yes	
row_91	RRP7BP	2246	1.6332929134368896	0.42947075	Yes	
row_92	YJU2	2273	1.6219618320465088	0.43130553	Yes	
row_93	RPS8	2292	1.6115634441375732	0.43342835	Yes	
row_94	EIF2D	2309	1.600709080696106	0.43560877	Yes	
row_95	MYBBP1A	2327	1.5955156087875366	0.43774188	Yes	
row_96	RPL35	2364	1.5778794288635254	0.43911698	Yes	
row_97	RPP38	2399	1.5615503787994385	0.44054013	Yes	
row_98	NSUN5P2	2448	1.5317878723144531	0.44137552	Yes	
row_99	RPL11	2512	1.5004158020019531	0.44158208	Yes	
row_100	COIL	2519	1.4976439476013184	0.44396544	Yes	
row_101	PWP2	2537	1.4902420043945312	0.44591483	Yes	
row_102	MRM2	2550	1.4846421480178833	0.44804588	Yes	
row_103	NPM3	2556	1.4807802438735962	0.45043808	Yes	
row_104	METTL16	2593	1.4631959199905396	0.4516131	Yes	
row_105	RPL14	2616	1.4496268033981323	0.45330027	Yes	
row_106	GEMIN6	2630	1.4424110651016235	0.45531934	Yes	
row_107	EIF3F	2732	1.392923355102539	0.4538839	Yes	
row_108	UTP14C	2746	1.3866138458251953	0.4558056	Yes	
row_109	XPO1	2793	1.3659104108810425	0.45642814	Yes	
row_110	RNASEL	2806	1.3590166568756104	0.45834	Yes	
row_111	RNU2-1	2811	1.3566275835037231	0.46055385	Yes	
row_112	DDX17	2852	1.3407849073410034	0.46136218	Yes	
row_113	ERAL1	2948	1.3081440925598145	0.46000847	Yes	
row_114	DROSHA	2951	1.3072060346603394	0.46221265	Yes	
row_115	DDX18	2962	1.3046621084213257	0.4641062	Yes	
row_116	EIF6	3041	1.2724473476409912	0.46334088	Yes	
row_117	NOP2	3094	1.2524425983428955	0.4635358	Yes	
row_118	SART3	3130	1.2373387813568115	0.46435502	Yes	
row_119	RPS27	3171	1.2236065864562988	0.4649589	Yes	
row_120	ISG20L2	3188	1.2174463272094727	0.46647066	Yes	
row_121	CELF6	3190	1.2168793678283691	0.4685555	Yes	
row_122	RPL23A	3208	1.2108784914016724	0.47001752	Yes	
row_123	IMP4	3242	1.199160099029541	0.47084668	Yes	
row_124	DKC1	3371	1.154283046722412	0.46796146	Yes	
row_125	SF3B3	3378	1.1523377895355225	0.46974236	Yes	
row_126	GRWD1	3398	1.1460003852844238	0.4710146	Yes	
row_127	RPL27	3400	1.1453461647033691	0.47297466	Yes	
row_128	TSR1	3405	1.1443392038345337	0.47481814	Yes	
row_129	RNU4ATAC	3455	1.1252248287200928	0.4749059	Yes	
row_130	HEATR3	3469	1.121282935142517	0.4763647	Yes	
row_131	CHD7	3474	1.1190763711929321	0.47816408	Yes	
row_132	DDX20	3484	1.1145237684249878	0.47976416	Yes	
row_133	ABT1	3498	1.108302354812622	0.4812003	Yes	
row_134	RBM5	3558	1.0891155004501343	0.48084232	Yes	
row_135	DDX54	3621	1.0692956447601318	0.48033494	Yes	
row_136	RPLP0	3687	1.048763632774353	0.47967693	Yes	
row_137	YTHDC1	3699	1.0434337854385376	0.48107642	Yes	
row_138	SUV39H1	3705	1.0427745580673218	0.48270443	Yes	
row_139	ZNHIT3	3709	1.041213870048523	0.48440626	Yes	
row_140	BYSL	3748	1.0303151607513428	0.48474944	Yes	
row_141	EIF3L	3756	1.0270426273345947	0.48627344	Yes	
row_142	MRPS2	3757	1.026992917060852	0.4880653	Yes	
row_143	KHDC4	3858	0.9962812662124634	0.48597607	No	
row_144	GEMIN4	3940	0.9677175879478455	0.48456424	No	
row_145	RPS28	4009	0.9481894969940186	0.48361593	No	
row_146	MRPL20	4079	0.9226086139678955	0.4825847	No	
row_147	RPUSD2	4113	0.9135545492172241	0.48291555	No	
row_148	RPL7L1	4187	0.8952905535697937	0.48168355	No	
row_149	RPS16	4207	0.8923269510269165	0.48251322	No	
row_150	PES1	4242	0.8831995129585266	0.48275283	No	
row_151	AAR2	4311	0.8643258810043335	0.4816582	No	
row_152	ADAR	4362	0.8526918888092041	0.4812322	No	
row_153	RAMAC	4457	0.8251711130142212	0.4790741	No	
row_154	PELP1	4467	0.8225399255752563	0.48016474	No	
row_155	MPV17L2	4490	0.8158015012741089	0.48074606	No	
row_156	RRP9	4493	0.8150234818458557	0.48209152	No	
row_157	TSSC4	4512	0.8072633743286133	0.48281103	No	
row_158	EXOSC2	4578	0.7901215553283691	0.48170176	No	
row_159	USP4	4646	0.7760829925537109	0.48049143	No	
row_160	SRSF1	4656	0.7730221152305603	0.48149568	No	
row_161	POP7	4774	0.747793436050415	0.47832227	No	
row_162	RUVBL2	4776	0.7472673058509827	0.47958776	No	
row_163	SNRPD1	4792	0.7447211146354675	0.480313	No	
row_164	NLE1	4812	0.7378913164138794	0.4808732	No	
row_165	SFSWAP	4827	0.7347596883773804	0.48161933	No	
row_166	RPP25	4867	0.7278095483779907	0.48139647	No	
row_167	DCAF13	4908	0.7185988426208496	0.48111925	No	
row_168	NHP2	4922	0.7157875299453735	0.48187053	No	
row_169	DDX51	4956	0.7092241644859314	0.4818449	No	
row_170	MRM3	5005	0.6990989446640015	0.48122746	No	
row_171	KRI1	5079	0.6813722252845764	0.47962224	No	
row_172	SURF6	5153	0.6673181653022766	0.47799248	No	
row_173	RPL6	5225	0.6557111740112305	0.47641903	No	
row_174	WBP11	5279	0.6449018120765686	0.47551566	No	
row_175	METTL5	5318	0.6364102959632874	0.4751716	No	
row_176	SRSF10	5410	0.6174529194831848	0.47276592	No	
row_177	MRPS7	5416	0.6162641048431396	0.47364977	No	
row_178	SHQ1	5424	0.6151121258735657	0.47445506	No	
row_179	NOLC1	5431	0.6139384508132935	0.4752966	No	
row_180	RPL5	5559	0.5903370976448059	0.47146568	No	
row_181	NOC4L	5694	0.5662919282913208	0.4673249	No	
row_182	EIF3I	5803	0.5478131175041199	0.46414706	No	
row_183	WDR46	5816	0.5456814765930176	0.46463984	No	
row_184	SF3A2	5860	0.5360298752784729	0.46392927	No	
row_185	RNU1-4	5872	0.5344656109809875	0.46444076	No	
row_186	SF3A1	5967	0.5170189142227173	0.461745	No	
row_187	SPATA5	6029	0.5063328146934509	0.46029368	No	
row_188	RPL38	6043	0.5036764740943909	0.46067488	No	
row_189	NIP7	6145	0.48684564232826233	0.4576586	No	
row_190	NUDT16	6194	0.4772741198539734	0.45665413	No	
row_191	EIF3G	6207	0.4746750593185425	0.457023	No	
row_192	WDR18	6209	0.4745778441429138	0.45781276	No	
row_193	RNVU1-1	6221	0.47302383184432983	0.45821702	No	
row_194	RPL13A	6265	0.46520790457725525	0.4573829	No	
row_195	LSM4	6302	0.4592863619327545	0.45680633	No	
row_196	RPS17	6434	0.439044713973999	0.4525584	No	
row_197	EXOSC4	6438	0.4387667775154114	0.4532091	No	
row_198	NOL8	6468	0.4338643550872803	0.45285612	No	
row_199	MRPL44	6506	0.4263213276863098	0.45218378	No	
row_200	RNU5B-1	6601	0.4122973382472992	0.44930533	No	
row_201	YBEY	6670	0.4036385715007782	0.4474069	No	
row_202	MTERF4	6673	0.40350890159606934	0.44803438	No	
row_203	METTL18	6679	0.4023594856262207	0.448545	No	
row_204	URB2	6715	0.39710915088653564	0.44789824	No	
row_205	SNRPB	6775	0.38735491037368774	0.44631588	No	
row_206	LSM6	6785	0.3863919675350189	0.44664556	No	
row_207	EIF2S3	6896	0.3740110397338867	0.4430879	No	
row_208	NAT10	6932	0.369385689496994	0.4423928	No	
row_209	RAN	7007	0.3602484464645386	0.440189	No	
row_210	NOL3	7086	0.3486705422401428	0.43781194	No	
row_211	RNU4-2	7143	0.33981087803840637	0.43626145	No	
row_212	TBL3	7227	0.3293248414993286	0.43365923	No	
row_213	NOM1	7273	0.32283493876457214	0.43250015	No	
row_214	GEMIN5	7277	0.32252269983291626	0.43294802	No	
row_215	NOP16	7560	0.2878042459487915	0.42265674	No	
row_216	DDX10	7616	0.28212764859199524	0.42104387	No	
row_217	PRMT7	7644	0.2780807614326477	0.42049566	No	
row_218	RPL10	7737	0.2666688561439514	0.41743967	No	
row_219	EFL1	7753	0.26535752415657043	0.4173285	No	
row_220	PRKDC	7836	0.2545250654220581	0.41463408	No	
row_221	CD2BP2	7848	0.2533506453037262	0.4146551	No	
row_222	SNRPG	7867	0.25068458914756775	0.41440353	No	
row_223	NOL11	8071	0.22842440009117126	0.40703234	No	
row_224	WDR74	8102	0.22546067833900452	0.40627748	No	
row_225	SF3B4	8143	0.22125571966171265	0.40513253	No	
row_226	PPAN	8189	0.21686667203903198	0.40378854	No	
row_227	REXO4	8193	0.21658459305763245	0.4040516	No	
