NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AB1	5	15.46628475189209	0.050230034	Yes	
row_1	HSP90AA1	11	12.175318717956543	0.0897316	Yes	
row_2	XAB2	87	6.2838358879089355	0.10737153	Yes	
row_3	DDX23	93	6.160110950469971	0.12726367	Yes	
row_4	PUF60	124	5.710059642791748	0.14474024	Yes	
row_5	RUVBL1	183	5.152091026306152	0.15933563	Yes	
row_6	DHX9	200	4.973490238189697	0.1749421	Yes	
row_7	EIF3CL	227	4.828689098358154	0.18969716	Yes	
row_8	EIF3C	228	4.815765380859375	0.20539644	Yes	
row_9	SNRPD3	233	4.783115386962891	0.22083755	Yes	
row_10	TARBP2	343	4.125053405761719	0.23015006	Yes	
row_11	ISY1	405	3.8336679935455322	0.24033362	Yes	
row_12	DHX30	448	3.7017576694488525	0.25080794	Yes	
row_13	POLR2D	467	3.628669023513794	0.26195446	Yes	
row_14	PRPF8	508	3.515028476715088	0.27189592	Yes	
row_15	PRPF6	537	3.4436144828796387	0.2820598	Yes	
row_16	TRAF7	540	3.4336318969726562	0.2931775	Yes	
row_17	PRPF3	566	3.3626022338867188	0.30319107	Yes	
row_18	SNRPD2	579	3.3343701362609863	0.31360582	Yes	
row_19	SF3B5	596	3.302319049835205	0.3237643	Yes	
row_20	SNU13	615	3.2607779502868652	0.3337115	Yes	
row_21	BOP1	694	3.094327688217163	0.34083992	Yes	
row_22	RNVU1-3	807	2.877183198928833	0.3459706	Yes	
row_23	RPS15	857	2.809138298034668	0.35326946	Yes	
row_24	DDX39B	903	2.7474172115325928	0.36051884	Yes	
row_25	SRSF12	910	2.735949993133545	0.36921033	Yes	
row_26	PRPF31	958	2.6714818477630615	0.3761363	Yes	
row_27	SNRNP200	1172	2.432758092880249	0.3759866	Yes	
row_28	SART1	1272	2.3486149311065674	0.37988734	Yes	
row_29	RNU4-1	1278	2.3458237648010254	0.387345	Yes	
row_30	SF1	1318	2.3123066425323486	0.39340356	Yes	
row_31	SF3B2	1343	2.2909157276153564	0.3999614	Yes	
row_32	RPS19	1396	2.2357466220855713	0.4052772	Yes	
row_33	SMN2	1438	2.1967923641204834	0.4108833	Yes	
row_34	SMN1	1439	2.1967923641204834	0.4180448	Yes	
row_35	MRTO4	1528	2.118612289428711	0.42161304	Yes	
row_36	GEMIN8	1586	2.0651051998138428	0.42618287	Yes	
row_37	NOP53	1587	2.065101385116577	0.43291503	Yes	
row_38	RPS5	1614	2.046341896057129	0.4385997	Yes	
row_39	SF3A3	1630	2.0382068157196045	0.44467518	Yes	
row_40	GEMIN7	1643	2.023376941680908	0.4508161	Yes	
row_41	SNRPC	1693	1.9910979270935059	0.45544815	Yes	
row_42	ZRSR2	1771	1.9297229051589966	0.45881793	Yes	
row_43	SNRPB2	1798	1.9103754758834839	0.46405935	Yes	
row_44	RNVU1-14	1886	1.8525303602218628	0.4667981	Yes	
row_45	CELF1	1953	1.812596082687378	0.47020334	Yes	
row_46	MDN1	2003	1.7780112028121948	0.47414073	Yes	
row_47	MRPS11	2088	1.7186439037322998	0.4765568	Yes	
row_48	TXNL4A	2092	1.7163485288619995	0.48203826	Yes	
row_49	RPSA	2097	1.712805986404419	0.4874702	Yes	
row_50	PRPF19	2125	1.696951985359192	0.49197796	Yes	
row_51	SNRPF	2200	1.658240556716919	0.4945765	Yes	
row_52	RRP7BP	2246	1.6332929134368896	0.49819386	Yes	
row_53	YJU2	2273	1.6219618320465088	0.5024951	Yes	
row_54	DHX8	2293	1.611350178718567	0.50702727	Yes	
row_55	EIF2D	2309	1.600709080696106	0.5116765	Yes	
row_56	RPL11	2512	1.5004158020019531	0.5089047	Yes	
row_57	COIL	2519	1.4976439476013184	0.51355934	Yes	
row_58	PWP2	2537	1.4902420043945312	0.51777256	Yes	
row_59	MRM2	2550	1.4846421480178833	0.52215725	Yes	
row_60	GEMIN6	2630	1.4424110651016235	0.5238625	Yes	
row_61	EIF3F	2732	1.392923355102539	0.52457184	Yes	
row_62	RNU2-1	2811	1.3566275835037231	0.52603537	Yes	
row_63	ERAL1	2948	1.3081440925598145	0.5251406	Yes	
row_64	EIF6	3041	1.2724473476409912	0.52579856	Yes	
row_65	NOP2	3094	1.2524425983428955	0.5279088	Yes	
row_66	SART3	3130	1.2373387813568115	0.53061473	Yes	
row_67	RPS27	3171	1.2236065864562988	0.53308624	Yes	
row_68	CELF6	3190	1.2168793678283691	0.5363704	Yes	
row_69	RPL23A	3208	1.2108784914016724	0.5396729	Yes	
row_70	SF3B3	3378	1.1523377895355225	0.53701824	Yes	
row_71	RNU4ATAC	3455	1.1252248287200928	0.5378033	Yes	
row_72	DDX20	3484	1.1145237684249878	0.5403744	Yes	
row_73	ABT1	3498	1.108302354812622	0.5434943	Yes	
row_74	RBM5	3558	1.0891155004501343	0.54480654	Yes	
row_75	RPLP0	3687	1.048763632774353	0.54336965	Yes	
row_76	YTHDC1	3699	1.0434337854385376	0.5463539	Yes	
row_77	ZNHIT3	3709	1.041213870048523	0.5494068	Yes	
row_78	EIF3L	3756	1.0270426273345947	0.5510099	Yes	
row_79	KHDC4	3858	0.9962812662124634	0.5504262	Yes	
row_80	GEMIN4	3940	0.9677175879478455	0.5505081	Yes	
row_81	RPS28	4009	0.9481894969940186	0.5510195	Yes	
row_82	MRPL20	4079	0.9226086139678955	0.55140954	Yes	
row_83	AAR2	4311	0.8643258810043335	0.5454639	No	
row_84	ADAR	4362	0.8526918888092041	0.5463469	No	
row_85	RAMAC	4457	0.8251711130142212	0.5454709	No	
row_86	TSSC4	4512	0.8072633743286133	0.546054	No	
row_87	USP4	4646	0.7760829925537109	0.5435385	No	
row_88	SRSF1	4656	0.7730221152305603	0.5457171	No	
row_89	RUVBL2	4776	0.7472673058509827	0.54363877	No	
row_90	SNRPD1	4792	0.7447211146354675	0.5454975	No	
row_91	NLE1	4812	0.7378913164138794	0.5471822	No	
row_92	SFSWAP	4827	0.7347596883773804	0.5490464	No	
row_93	VCP	4999	0.700782299041748	0.54484385	No	
row_94	RPL6	5225	0.6557111740112305	0.5384458	No	
row_95	SRSF10	5410	0.6174529194831848	0.5334784	No	
row_96	MRPS7	5416	0.6162641048431396	0.5352977	No	
row_97	SHQ1	5424	0.6151121258735657	0.53703743	No	
row_98	RPL5	5559	0.5903370976448059	0.53387845	No	
row_99	EIF3I	5803	0.5478131175041199	0.5264458	No	
row_100	SF3A2	5860	0.5360298752784729	0.5260688	No	
row_101	RNU1-4	5872	0.5344656109809875	0.5273938	No	
row_102	SF3A1	5967	0.5170189142227173	0.5255133	No	
row_103	RPL38	6043	0.5036764740943909	0.52431005	No	
row_104	EIF3G	6207	0.4746750593185425	0.5196739	No	
row_105	RNVU1-1	6221	0.47302383184432983	0.52072275	No	
row_106	RPL13A	6265	0.46520790457725525	0.52060807	No	
row_107	KLC1	6276	0.4631221294403076	0.52173847	No	
row_108	LSM4	6302	0.4592863619327545	0.5222873	No	
row_109	RNU5B-1	6601	0.4122973382472992	0.51232636	No	
row_110	SNRPB	6775	0.38735491037368774	0.5070262	No	
row_111	EIF2S3	6896	0.3740110397338867	0.5036931	No	
row_112	NOL3	7086	0.3486705422401428	0.4976598	No	
row_113	RNU4-2	7143	0.33981087803840637	0.49664316	No	
row_114	GEMIN5	7277	0.32252269983291626	0.49264905	No	
row_115	PRMT7	7644	0.2780807614326477	0.4796709	No	
row_116	RPL10	7737	0.2666688561439514	0.4770501	No	
row_117	PRKDC	7836	0.2545250654220581	0.47416207	No	
row_118	CD2BP2	7848	0.2533506453037262	0.4745707	No	
row_119	SNRPG	7867	0.25068458914756775	0.47470507	No	
row_120	SF3B4	8143	0.22125571966171265	0.4649939	No	
row_121	PPAN	8189	0.21686667203903198	0.46399373	No	
row_122	DENR	8253	0.2097032070159912	0.4622874	No	
row_123	EIF5	8273	0.20797041058540344	0.46224457	No	
row_124	RPS14	8570	0.18042002618312836	0.4516036	No	
row_125	DDX46	8780	0.1593296229839325	0.44419435	No	
row_126	KIF5B	8785	0.15854036808013916	0.44455943	No	
row_127	RNU5D-1	8794	0.15771611034870148	0.4447701	No	
