NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT3	21	9.178403854370117	0.031695955	Yes	
row_1	POLDIP3	45	7.573619842529297	0.057635184	Yes	
row_2	CCT6A	55	7.247432231903076	0.08295015	Yes	
row_3	SEC13	59	7.069970607757568	0.10786423	Yes	
row_4	ALKBH5	90	6.236802577972412	0.1288059	Yes	
row_5	CCT5	151	5.467867851257324	0.14588886	Yes	
row_6	NUP62	152	5.457242965698242	0.16520755	Yes	
row_7	KHSRP	171	5.248995780944824	0.18310703	Yes	
row_8	RUVBL1	183	5.152091026306152	0.2009287	Yes	
row_9	DHX9	200	4.973490238189697	0.21792866	Yes	
row_10	CCT7	206	4.960067272186279	0.2352979	Yes	
row_11	DDX39A	214	4.8957672119140625	0.25236374	Yes	
row_12	RBM15B	268	4.537464141845703	0.26641828	Yes	
row_13	BICD2	335	4.16435432434082	0.27865946	Yes	
row_14	HSF1	398	3.8554317951202393	0.28995863	Yes	
row_15	RFTN1	411	3.7978017330169678	0.3029482	Yes	
row_16	NUP188	458	3.657655715942383	0.31415343	Yes	
row_17	POLR2D	467	3.628669023513794	0.32669586	Yes	
row_18	POM121	498	3.5457701683044434	0.33811125	Yes	
row_19	TCP1	505	3.524181365966797	0.35035953	Yes	
row_20	NUP214	529	3.456960678100586	0.36172575	Yes	
row_21	PRPF6	537	3.4436144828796387	0.37365097	Yes	
row_22	SMG7	599	3.297398805618286	0.38301256	Yes	
row_23	MVP	638	3.216437816619873	0.392959	Yes	
row_24	CCT4	738	3.0072176456451416	0.3998536	Yes	
row_25	DDX39B	903	2.7474172115325928	0.40336567	Yes	
row_26	PRPF31	958	2.6714818477630615	0.41077676	Yes	
row_27	FBL	1106	2.505556583404541	0.41407678	Yes	
row_28	MCM3AP	1231	2.386979103088379	0.4178285	Yes	
row_29	NXF1	1282	2.3400802612304688	0.42421797	Yes	
row_30	PHAX	1307	2.317401885986328	0.43151224	Yes	
row_31	TGFBR2	1353	2.275452136993408	0.43786237	Yes	
row_32	UPF1	1364	2.2677929401397705	0.4455115	Yes	
row_33	PABPN1	1419	2.2117934226989746	0.45129526	Yes	
row_34	POM121C	1547	2.1019673347473145	0.45392436	Yes	
row_35	CHTOP	1617	2.0432043075561523	0.45854297	Yes	
row_36	AAAS	1756	1.9374263286590576	0.46017283	Yes	
row_37	XPOT	1796	1.9112595319747925	0.46546105	Yes	
row_38	THOC3	1823	1.8923044204711914	0.4711747	Yes	
row_39	NUTF2	1929	1.8304486274719238	0.47367617	Yes	
row_40	SIDT2	2053	1.743187427520752	0.47518674	Yes	
row_41	NPIPA1	2054	1.7430458068847656	0.48135713	Yes	
row_42	PEG10	2409	1.558319091796875	0.47346094	Yes	
row_43	SUPT6H	2430	1.544809341430664	0.47817183	Yes	
row_44	DDX19A	2480	1.5148903131484985	0.48167798	Yes	
