NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FMO1	3798	1.0168274641036987	-0.12623243	No	
row_1	OPN3	3886	0.9866470694541931	-0.11309298	No	
row_2	MFSD12	3920	0.9732849597930908	-0.09814053	No	
row_3	AKR1B10	5177	0.6635841131210327	-0.13443878	No	
row_4	PMEL	5503	0.6002254486083984	-0.13670035	No	
row_5	DDC	6044	0.503450334072113	-0.14867607	No	
row_6	CTNS	6470	0.433478444814682	-0.15748161	No	
row_7	MC1R	6953	0.3664650321006775	-0.16955076	No	
row_8	AKR1C2	6972	0.364299476146698	-0.16416696	No	
row_9	AKR7A2	7088	0.3485471308231354	-0.1627014	No	
row_10	N6AMT1	7637	0.2792232632637024	-0.17870997	No	
row_11	SLC45A2	7909	0.24672570824623108	-0.18481871	No	
row_12	CYP1B1	8328	0.20249417424201965	-0.19720419	No	
row_13	TYRP1	8565	0.18065644800662994	-0.20309317	No	
row_14	ARL1	8865	0.15069517493247986	-0.21185532	No	
row_15	UGT1A7	8928	0.14370188117027283	-0.21180089	No	
row_16	AKR1A1	9077	0.13085348904132843	-0.21520175	No	
row_17	BCL2	9083	0.13002848625183105	-0.21322642	No	
row_18	FMO2	9113	0.12746202945709229	-0.21219842	No	
row_19	PON3	9156	0.12343308329582214	-0.21172744	No	
row_20	CYP2D6	9473	0.09797883033752441	-0.22200759	No	
row_21	TYR	9708	0.07894839346408844	-0.22951369	No	
row_22	DCT	9823	0.0702696368098259	-0.2326412	No	
row_23	APPL1	9903	0.0634545385837555	-0.23456292	No	
row_24	CYP3A4	9992	0.054663944989442825	-0.23697014	No	
row_25	ACMSD	11826	-0.07963155210018158	-0.304734	No	
row_26	DDT	12836	-0.13126228749752045	-0.34058064	No	
row_27	CYP1A1	13850	-0.18795636296272278	-0.37563464	No	
row_28	SLC24A5	14093	-0.21090036630630493	-0.3812465	No	
row_29	AKR1C1	15478	-0.3110847473144531	-0.42823517	No	
row_30	CYP3A5	16397	-0.3820127844810486	-0.4564792	No	
row_31	WNT5A	16942	-0.4307592809200287	-0.4698153	No	
row_32	PAM	18688	-0.6293094158172607	-0.5251152	No	
row_33	AKR1C4	19060	-0.6806181073188782	-0.5277728	No	
row_34	UGT1A8	19993	-0.8266633749008179	-0.54914516	Yes	
row_35	RAPGEF2	20253	-0.871729850769043	-0.544401	Yes	
row_36	CBR4	20308	-0.8827786445617676	-0.53174615	Yes	
row_37	AKR7A3	20354	-0.8935657739639282	-0.5185726	Yes	
row_38	AKR1B1	20579	-0.9293360114097595	-0.5115506	Yes	
row_39	AS3MT	20889	-0.9886268973350525	-0.5067458	Yes	
row_40	BDH2	21128	-1.0380533933639526	-0.49844238	Yes	
row_41	OCA2	21825	-1.2001333236694336	-0.5047046	Yes	
row_42	ZEB2	22131	-1.278157353401184	-0.49493098	Yes	
row_43	NFE2L2	22522	-1.3808420896530151	-0.4866524	Yes	
row_44	TRPC1	22603	-1.4030600786209106	-0.46631965	Yes	
row_45	CITED1	22685	-1.426287055015564	-0.44563806	Yes	
row_46	CYP2A6	23133	-1.5607593059539795	-0.43651393	Yes	
row_47	GIPC1	23532	-1.7075495719909668	-0.4231002	Yes	
row_48	CYP2A7	23870	-1.850829839706421	-0.40500298	Yes	
row_49	SULT1C4	24438	-2.14219331741333	-0.3907263	Yes	
row_50	ATP7A	24937	-2.4598445892333984	-0.36856294	Yes	
row_51	CDH3	25177	-2.6429178714752197	-0.3335909	Yes	
row_52	ASIP	25205	-2.6611990928649902	-0.290324	Yes	
row_53	CYP1A2	25924	-3.523909568786621	-0.25874588	Yes	
row_54	SLC7A11	26100	-3.9552977085113525	-0.19952247	Yes	
row_55	RAB38	26322	-4.715290546417236	-0.12938596	Yes	
row_56	AKR1C3	26569	-8.373167037963867	6.783723E-4	Yes	
