NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GHRL	255	4.657094955444336	0.025271615	No	
row_1	EDN1	1923	1.833277702331543	-0.023933548	No	
row_2	CHRNB2	2156	1.6785800457000732	-0.020114347	No	
row_3	SULF2	2158	1.6775884628295898	-0.0075803306	No	
row_4	MYH11	2809	1.3575236797332764	-0.021950228	No	
row_5	ORMDL3	3224	1.2052234411239624	-0.028550416	No	
row_6	TRPV1	3449	1.1267825365066528	-0.028564293	No	
row_7	TACR1	3476	1.117450475692749	-0.021171892	No	
row_8	ADORA2B	3569	1.0848668813705444	-0.016515743	No	
row_9	PTAFR	3847	0.9983705878257751	-0.019493142	No	
row_10	APBB1	3948	0.9645841717720032	-0.016040456	No	
row_11	TACR2	4252	0.880833089351654	-0.020880401	No	
row_12	ABAT	4553	0.7958993315696716	-0.02624356	No	
row_13	OXT	5052	0.6887569427490234	-0.039885852	No	
row_14	RAP1GDS1	6451	0.4365905225276947	-0.08940065	No	
row_15	ROCK1	7169	0.3368062973022461	-0.11394959	No	
row_16	MIR21	7757	0.2646302282810211	-0.13413079	No	
row_17	CHRM2	7907	0.2467452436685562	-0.13790773	No	
row_18	GPER1	8074	0.22823168337345123	-0.14246531	No	
row_19	TPCN2	8135	0.22197933495044708	-0.14306732	No	
row_20	PLCE1	8384	0.2004879266023636	-0.15092902	No	
row_21	SCN11A	8677	0.16997216641902924	-0.16068077	No	
row_22	ADRB2	9123	0.12573564052581787	-0.17654112	No	
row_23	ATP2B4	9956	0.058621060103178024	-0.20751701	No	
row_24	PTGS2	10498	0.0195035170763731	-0.22779828	No	
row_25	FKBP1B	10661	0.010452673770487309	-0.23383684	No	
row_26	DRD1	10811	-0.0016987910494208336	-0.23945016	No	
row_27	APBB2	10893	-0.007655440364032984	-0.24245124	No	
row_28	EDN2	11410	-0.04522485285997391	-0.2615958	No	
row_29	SRF	11720	-0.06886713951826096	-0.27274713	No	
row_30	SOD1	11977	-0.09208041429519653	-0.2817233	No	
row_31	NMUR2	12338	-0.10127578675746918	-0.29455745	No	
row_32	BBS2	12671	-0.11807356774806976	-0.3062085	No	
row_33	SSTR2	13367	-0.17065750062465668	-0.33117184	No	
row_34	TNNI3	14260	-0.22296570241451263	-0.36318165	No	
row_35	KCNB2	14320	-0.22833657264709473	-0.36369827	No	
row_36	HTR1D	14478	-0.2410171627998352	-0.3678202	No	
row_37	GRIP2	14625	-0.25253748893737793	-0.37144047	No	
row_38	NEUROG1	14891	-0.2619744837284088	-0.37948328	No	
row_39	HTR2B	15425	-0.3062826693058014	-0.39731336	No	
row_40	P2RX3	15467	-0.3096909821033478	-0.39654067	No	
row_41	TBXA2R	15642	-0.31703853607177734	-0.40073478	No	
row_42	RGS2	15861	-0.3350270390510559	-0.40645552	No	
row_43	DOCK5	15875	-0.3365313708782196	-0.40442443	No	
row_44	AGT	15988	-0.34919118881225586	-0.40603656	No	
row_45	ADRA2A	16664	-0.407353013753891	-0.42847097	No	
row_46	EDN3	16925	-0.4290808141231537	-0.4350727	No	
row_47	RHOA	17746	-0.5139718651771545	-0.46218312	No	
row_48	PTGER3	17828	-0.5227386355400085	-0.4613242	No	
row_49	ROCK2	18310	-0.5804706811904907	-0.47513607	No	
row_50	NPNT	18342	-0.5852579474449158	-0.47192067	No	
row_51	DCANP1	18512	-0.6068440079689026	-0.47375423	No	
row_52	TACR3	18689	-0.6296747922897339	-0.475681	No	
row_53	ATP1A2	18733	-0.6354501247406006	-0.47254258	No	
row_54	DAPK3	18963	-0.6661018133163452	-0.47619757	No	
row_55	ZDHHC21	19186	-0.7008814215660095	-0.47932762	No	
row_56	CHRM3	19339	-0.7223665118217468	-0.47965354	No	
row_57	DOCK4	19562	-0.7568264007568359	-0.48236436	No	
row_58	F2R	19807	-0.7957835793495178	-0.48561388	No	
row_59	CNN1	20342	-0.8904024958610535	-0.49910438	No	
row_60	CALCA	20657	-0.9444552063941956	-0.5038829	No	
row_61	SPHK1	21063	-1.0229533910751343	-0.5115092	No	
