NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFAP157	4802	0.7408276200294495	-0.15860018	No	
row_1	DNAH1	6077	0.4984760284423828	-0.1916336	No	
row_2	CFAP47	6863	0.3779083490371704	-0.20986812	No	
row_3	CFAP44	7788	0.26075631380081177	-0.2368451	No	
row_4	TPGS1	7927	0.2449832260608673	-0.23470232	No	
row_5	MNS1	9171	0.12184234708547592	-0.2778505	No	
row_6	TBC1D21	9507	0.09305579960346222	-0.28767556	No	
row_7	IQCG	10581	0.013957629911601543	-0.32765502	No	
row_8	CFAP97D1	11148	-0.026318425312638283	-0.34817612	No	
row_9	CFAP65	12513	-0.10489935427904129	-0.39638737	No	
row_10	BBS2	12671	-0.11807356774806976	-0.39876145	No	
row_11	TTLL1	13315	-0.16931265592575073	-0.41789818	No	
row_12	MEIG1	14527	-0.24427101016044617	-0.4561743	No	
row_13	CFAP43	15250	-0.2938515543937683	-0.4745548	No	
row_14	CFAP206	18070	-0.551690399646759	-0.5641622	No	
row_15	CFAP69	18285	-0.5760055184364319	-0.5549651	No	
row_16	FSIP2	21270	-1.0734878778457642	-0.63515437	No	
row_17	CEP131	22629	-1.410683035850525	-0.6440255	Yes	
row_18	SPAG6	22861	-1.4771968126296997	-0.60847366	Yes	
row_19	SPAG16	23507	-1.6978445053100586	-0.5818991	Yes	
row_20	ARMC2	23877	-1.8536174297332764	-0.5402673	Yes	
row_21	NEURL1	23941	-1.8846864700317383	-0.48618415	Yes	
row_22	UBE2B	24307	-2.067103385925293	-0.43800685	Yes	
row_23	SPEF2	24814	-2.3718810081481934	-0.3860086	Yes	
row_24	DRC7	26014	-3.710933208465576	-0.31999046	Yes	
row_25	CFAP58	26308	-4.647788047790527	-0.19179903	Yes	
row_26	TTC12	26531	-6.7524027824401855	0.0021083842	Yes	
