NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFAP157	4802	0.7408276200294495	-0.16378973	No	
row_1	DNHD1	4949	0.7112165093421936	-0.15290114	No	
row_2	DNAH1	6077	0.4984760284423828	-0.18386213	No	
row_3	CFAP47	6863	0.3779083490371704	-0.20472033	No	
row_4	CFAP44	7788	0.26075631380081177	-0.23351307	No	
row_5	TPGS1	7927	0.2449832260608673	-0.23306584	No	
row_6	MNS1	9171	0.12184234708547592	-0.27707398	No	
row_7	TBC1D21	9507	0.09305579960346222	-0.28754708	No	
row_8	AKAP4	10247	0.0378933809697628	-0.3145072	No	
row_9	IQCG	10581	0.013957629911601543	-0.32672748	No	
row_10	CFAP97D1	11148	-0.026318425312638283	-0.34743854	No	
row_11	GK2	12285	-0.10127578675746918	-0.38789058	No	
row_12	CFAP65	12513	-0.10489935427904129	-0.39402312	No	
row_13	BBS2	12671	-0.11807356774806976	-0.3972157	No	
row_14	KLC3	12845	-0.13266417384147644	-0.40067467	No	
row_15	TTLL1	13315	-0.16931265592575073	-0.4144376	No	
row_16	MEIG1	14527	-0.24427101016044617	-0.45441955	No	
row_17	CFAP43	15250	-0.2938515543937683	-0.47484174	No	
row_18	CFAP206	18070	-0.551690399646759	-0.56830305	No	
row_19	CFAP69	18285	-0.5760055184364319	-0.563091	No	
row_20	ARMC12	18645	-0.6232172846794128	-0.56225234	No	
row_21	PFN4	20655	-0.9442695379257202	-0.6161607	Yes	
row_22	CFAP54	21253	-1.068568229675293	-0.61402434	Yes	
row_23	FSIP2	21270	-1.0734878778457642	-0.58989227	Yes	
row_24	IFT81	21589	-1.1475777626037598	-0.57542735	Yes	
row_25	CEP131	22629	-1.410683035850525	-0.5820554	Yes	
row_26	SPAG6	22861	-1.4771968126296997	-0.5567189	Yes	
row_27	CFAP221	23297	-1.6268547773361206	-0.5356174	Yes	
row_28	SPAG16	23507	-1.6978445053100586	-0.50436825	Yes	
row_29	ARMC2	23877	-1.8536174297332764	-0.475556	Yes	
row_30	NEURL1	23941	-1.8846864700317383	-0.43450287	Yes	
row_31	UBE2B	24307	-2.067103385925293	-0.40062097	Yes	
row_32	SPEF2	24814	-2.3718810081481934	-0.36502707	Yes	
row_33	DZIP1	25967	-3.622661828994751	-0.3249439	Yes	
row_34	DRC7	26014	-3.710933208465576	-0.24117114	Yes	
row_35	CFAP58	26308	-4.647788047790527	-0.14511475	Yes	
row_36	TTC12	26531	-6.7524027824401855	0.0021091048	Yes	
