NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3A	4446	0.8298225402832031	-0.14690161	No	
row_1	CTNNB1	5895	0.5295618772506714	-0.18835759	No	
row_2	TP63	5966	0.517095148563385	-0.17825377	No	
row_3	NF1	9949	0.05942114070057869	-0.32666948	No	
row_4	NTRK1	15282	-0.2966938018798828	-0.520053	No	
row_5	FZD3	19431	-0.7373285293579102	-0.65801674	No	
row_6	ASCL1	19739	-0.7842406630516052	-0.65025234	No	
row_7	GFRA3	20972	-1.003056287765503	-0.67191374	No	
row_8	TFAP2B	22823	-1.4673882722854614	-0.7053975	Yes	
row_9	SEMA3F	22950	-1.5052212476730347	-0.67305917	Yes	
row_10	EDNRA	23384	-1.6568776369094849	-0.64854	Yes	
row_11	SOX4	23849	-1.8424923419952393	-0.62061507	Yes	
row_12	PHOX2A	23902	-1.8678042888641357	-0.57655925	Yes	
row_13	PLXNA4	24177	-1.9982839822769165	-0.537645	Yes	
row_14	GATA3	24232	-2.0248231887817383	-0.48979628	Yes	
row_15	NRP2	25475	-2.9135167598724365	-0.4647702	Yes	
row_16	GDNF	25652	-3.110534906387329	-0.39476714	Yes	
row_17	INSM1	26273	-4.5078864097595215	-0.30705234	Yes	
row_18	SOX11	26505	-6.300964832305908	-0.16052368	Yes	
row_19	NRP1	26522	-6.639883995056152	0.0024466536	Yes	
