NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT3	21	9.178403854370117	0.19000877	Yes	
row_1	CCT6A	55	7.247432231903076	0.33942518	Yes	
row_2	CCT5	151	5.467867851257324	0.44951472	Yes	
row_3	RUVBL1	183	5.152091026306152	0.5554488	Yes	
row_4	CCT7	206	4.960067272186279	0.6577298	Yes	
row_5	TCP1	505	3.524181365966797	0.7197738	Yes	
row_6	CCT4	738	3.0072176456451416	0.7735554	Yes	
row_7	DKC1	3371	1.154283046722412	0.69848764	No	
row_8	WRAP53	3635	1.0652788877487183	0.7107337	No	
row_9	RUVBL2	4776	0.7472673058509827	0.68336064	No	
row_10	NHP2	4922	0.7157875299453735	0.6927828	No	
row_11	SHQ1	5424	0.6151121258735657	0.6867131	No	
row_12	CCT8	7269	0.3234727680683136	0.6240332	No	
row_13	NOP10	9153	0.12360639125108719	0.5557307	No	
row_14	CCT2	15421	-0.30576351284980774	0.32621044	No	
row_15	NAF1	16424	-0.383811354637146	0.29647592	No	
row_16	DCP2	18280	-0.5757967233657837	0.23862728	No	
row_17	EXOSC10	22345	-1.3295713663101196	0.11330598	No	
row_18	PARN	24578	-2.2280402183532715	0.07561444	No	
