NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REPLICATION_FORK_PROCESSING	GOBP_REPLICATION_FORK_PROCESSING	Details ...	46	-0.6387335	-1.9128205	0.0	0.13733296	0.144	2688	tags=33%, list=10%, signal=36%	
GOBP_SPERM_AXONEME_ASSEMBLY	GOBP_SPERM_AXONEME_ASSEMBLY	Details ...	27	-0.686282	-1.8672572	0.0	0.16697133	0.312	3960	tags=37%, list=15%, signal=43%	
GOBP_DENDRITIC_SPINE_MORPHOGENESIS	GOBP_DENDRITIC_SPINE_MORPHOGENESIS	Details ...	55	-0.5914509	-1.8514946	0.0	0.15219463	0.401	2743	tags=29%, list=10%, signal=32%	
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	20	-0.7415464	-1.848631	0.0	0.12096854	0.417	3766	tags=60%, list=14%, signal=70%	
GOBP_SMOOTH_MUSCLE_CONTRACTION	GOBP_SMOOTH_MUSCLE_CONTRACTION	Details ...	104	-0.5341266	-1.8253791	0.0	0.14988214	0.561	4926	tags=40%, list=19%, signal=49%	
GOBP_INTEGRIN_ACTIVATION	GOBP_INTEGRIN_ACTIVATION	Details ...	23	-0.69780576	-1.8226403	0.0	0.1318114	0.583	1732	tags=39%, list=7%, signal=42%	
GOBP_REGULATION_OF_HEART_RATE	GOBP_REGULATION_OF_HEART_RATE	Details ...	97	-0.53774315	-1.8173809	0.0	0.12429483	0.615	5929	tags=40%, list=22%, signal=52%	
GOBP_SPERM_FLAGELLUM_ASSEMBLY	GOBP_SPERM_FLAGELLUM_ASSEMBLY	Details ...	37	-0.6386457	-1.8125407	0.0	0.11857078	0.652	5336	tags=41%, list=20%, signal=51%	
GOBP_FORELIMB_MORPHOGENESIS	GOBP_FORELIMB_MORPHOGENESIS	Details ...	37	-0.6222448	-1.8017956	0.0	0.12595464	0.714	5656	tags=49%, list=21%, signal=62%	
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	Details ...	25	-0.69295806	-1.7976077	0.0034129692	0.12164677	0.737	2282	tags=32%, list=9%, signal=35%	
GOBP_MELANOCYTE_DIFFERENTIATION	GOBP_MELANOCYTE_DIFFERENTIATION	Details ...	25	-0.6776623	-1.7912074	0.0	0.12220824	0.773	5517	tags=48%, list=21%, signal=61%	
GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	Details ...	62	-0.5655766	-1.7807752	0.0	0.13198376	0.845	5336	tags=35%, list=20%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_HEART_RATE	GOBP_POSITIVE_REGULATION_OF_HEART_RATE	Details ...	26	-0.6615087	-1.7731042	0.0	0.13668002	0.876	4059	tags=46%, list=15%, signal=54%	
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	Details ...	24	-0.67750967	-1.7683566	0.0016233766	0.13666187	0.899	5396	tags=75%, list=20%, signal=94%	
