sample_name	sex	exp_group	sequencing_run
SF0012	female	sham	first
SF0016	female	sham	first
SF0018	female	sham	first
SF0022	female	sham	first
SM1004	male	sham	first
SM1005	male	sham	first
SM1007	male	sham	first
SM1008	male	sham	first
SM1010	male	sham	first
TF0005	female	treatment	second
TF0006	female	treatment	second
TF0008	female	treatment	first
TF0011	female	treatment	first
TF0014	female	treatment	first
TF0015	female	treatment	first
TF0021	female	treatment	first
TF0023	female	treatment	first
TM1006	male	treatment	first
TM1009	male	treatment	second
TM1011	male	treatment	first
