NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	0	20.3439884185791	0.16926537	Yes	
row_1	HSPA1B	1	18.848594665527344	0.32608882	Yes	
row_2	CXCR4	161	5.342574596405029	0.36454535	Yes	
row_3	DHX9	200	4.973490238189697	0.40449294	Yes	
row_4	IKBKE	420	3.774280071258545	0.42763892	Yes	
row_5	MAVS	445	3.7174220085144043	0.45766366	Yes	
row_6	CD74	510	3.5083160400390625	0.4844405	Yes	
row_7	TRAF2	539	3.436901807785034	0.5119805	Yes	
row_8	TRIM41	746	2.993741750717163	0.52912235	Yes	
row_9	TREM2	842	2.8202595710754395	0.5490057	Yes	
row_10	FADD	846	2.818189859390259	0.5723404	Yes	
row_11	IRF7	870	2.7976133823394775	0.59474987	Yes	
row_12	TRIM56	1003	2.6236202716827393	0.6116022	Yes	
row_13	NLRP6	1015	2.6112794876098633	0.63291377	Yes	
row_14	EDN1	1923	1.833277702331543	0.61397153	Yes	
row_15	IL7	2226	1.6469112634658813	0.6162882	Yes	
row_16	TLR4	2339	1.5904343128204346	0.62529826	Yes	
row_17	MED1	2446	1.5345081090927124	0.6340692	Yes	
row_18	IRF3	2539	1.4897655248641968	0.6429958	Yes	
row_19	NLRC5	2921	1.3155572414398193	0.6395771	No	
row_20	IFIH1	3438	1.1294012069702148	0.6295198	No	
row_21	RBM47	3793	1.0189236402511597	0.624651	No	
row_22	AGPAT2	3934	0.969659686088562	0.6274405	No	
row_23	STING1	5213	0.6571580767631531	0.5847254	No	
row_24	ZBP1	5824	0.543972909450531	0.5662533	No	
row_25	RIPK2	5897	0.5288766026496887	0.5679391	No	
row_26	TRIM32	6058	0.5014578700065613	0.5660791	No	
row_27	AGPAT1	6133	0.489934504032135	0.56736547	No	
row_28	CASP1	6806	0.38455909490585327	0.5452295	No	
row_29	PARP9	7137	0.34086084365844727	0.53562397	No	
row_30	LSM14A	7253	0.3255392909049988	0.5339968	No	
row_31	PARP14	7410	0.3063124418258667	0.5306639	No	
row_32	TSLP	7533	0.2901541590690613	0.52847844	No	
row_33	LAPTM5	7881	0.2491268366575241	0.51746875	No	
row_34	RNF185	8089	0.22675146162509918	0.5115511	No	
row_35	CASP4	9402	0.10524342209100723	0.4629621	No	
row_36	TRIM44	9477	0.09717738628387451	0.46098068	No	
row_37	PAFAH1B1	9861	0.06707153469324112	0.447099	No	
row_38	GFI1	10333	0.035051122307777405	0.4296331	No	
row_39	PRKN	10945	-0.012194328010082245	0.40669882	No	
row_40	CD300LF	11988	-0.09260181337594986	0.36818412	No	
row_41	IL1R1	11994	-0.09302926063537598	0.36876962	No	
row_42	TICAM2	11996	-0.0933472290635109	0.3695086	No	
row_43	C1QTNF4	13979	-0.19945313036441803	0.29644328	No	
row_44	USP29	15679	-0.31976646184921265	0.2350486	No	
row_45	RIPK1	15962	-0.346741646528244	0.22730167	No	
row_46	MMP12	16322	-0.37379196286201477	0.21687678	No	
row_47	TLR2	16630	-0.40349626541137695	0.2086595	No	
row_48	CSF1	16657	-0.40698158740997314	0.21106541	No	
row_49	WNT5A	16942	-0.4307592809200287	0.20394212	No	
row_50	TAF9	17142	-0.44990378618240356	0.20018275	No	
row_51	GAS6	17764	-0.5152713656425476	0.18105714	No	
row_52	IRGM	17866	-0.5267453193664551	0.18163188	No	
row_53	USP27X	19315	-0.718348503112793	0.13301659	No	
row_54	UBE2K	19527	-0.7515995502471924	0.13131495	No	
row_55	CPNE1	20862	-0.9823595285415649	0.089194275	No	
row_56	HIF1A	21593	-1.1480834484100342	0.07122427	No	
row_57	TBK1	21621	-1.154136300086975	0.079808936	No	
row_58	ADAM17	22495	-1.3732354640960693	0.05832089	No	
row_59	TRIM6	23707	-1.7763675451278687	0.027443798	No	
row_60	TXK	24756	-2.326390027999878	0.007288364	No	
row_61	HPX	24869	-2.406533718109131	0.023088533	No	
row_62	LRRC70	24934	-2.457158088684082	0.04111959	No	
row_63	AXL	25042	-2.5436487197875977	0.05824909	No	
